horizon_steps,horizon_minutes,naive_MAE,naive_RMSE,lstm_MAE,lstm_RMSE,mae_improvement_percent,rmse_improvement_percent,intersection
1,15,9.30358,14.665311,7.553996,11.770371,18.805498,19.740053,LSA16
2,30,9.754036,15.357299,8.128274,12.515525,16.667589,18.504386,LSA16
4,60,12.096086,17.956095,9.468053,13.874594,21.726311,22.730446,LSA16
1,15,5.368455,8.67794,4.752985,7.814238,11.464562,9.952843,LSA10
2,30,5.928695,9.597483,5.150604,8.220812,13.124149,14.344092,LSA10
4,60,7.268002,11.799134,6.001282,9.94139,17.42872,15.74475,LSA10
1,15,14.038327,22.297584,13.357653,21.547567,4.84868,3.36367,LSA1
2,30,16.881453,26.919767,15.472847,24.881483,8.344104,7.571699,LSA1
4,60,23.8457,37.532705,19.236276,31.223317,19.33021,16.810374,LSA1
