intersection,date,begin_s,end_s,detector_id,sumo_id,approach,edge_id,count_type,from_edge,to_edge,movement,count,mean_occupancy,mean_speed
LD-LSA1,2026-03-23,57600,58500,7,LSA1_W_id7,West,,,,,,45,56.0,0.0
LD-LSA1,2026-03-23,58500,59400,7,LSA1_W_id7,West,,,,,,70,62.0,0.0
LD-LSA1,2026-03-23,59400,60300,7,LSA1_W_id7,West,,,,,,65,55.0,0.0
LD-LSA1,2026-03-23,60300,61200,7,LSA1_W_id7,West,,,,,,38,48.0,0.0
LD-LSA1,2026-03-23,57600,58500,8,LSA1_W_id8,West,,,,,,101,32.0,0.0
LD-LSA1,2026-03-23,58500,59400,8,LSA1_W_id8,West,,,,,,88,45.0,0.0
LD-LSA1,2026-03-23,59400,60300,8,LSA1_W_id8,West,,,,,,88,42.0,0.0
LD-LSA1,2026-03-23,60300,61200,8,LSA1_W_id8,West,,,,,,97,21.0,0.0
LD-LSA1,2026-03-23,57600,58500,9,LSA1_W_id9,West,,,,,,149,65.0,0.0
LD-LSA1,2026-03-23,58500,59400,9,LSA1_W_id9,West,,,,,,161,69.0,0.0
LD-LSA1,2026-03-23,59400,60300,9,LSA1_W_id9,West,,,,,,154,71.0,0.0
LD-LSA1,2026-03-23,60300,61200,9,LSA1_W_id9,West,,,,,,149,54.0,0.0
LD-LSA1,2026-03-23,57600,58500,10,LSA1_W_id10,West,,,,,,149,61.0,0.0
LD-LSA1,2026-03-23,58500,59400,10,LSA1_W_id10,West,,,,,,153,72.0,0.0
LD-LSA1,2026-03-23,59400,60300,10,LSA1_W_id10,West,,,,,,152,74.0,0.0
LD-LSA1,2026-03-23,60300,61200,10,LSA1_W_id10,West,,,,,,148,46.0,0.0
LD-LSA1,2026-03-23,57600,58500,11,LSA1_S_id11,South,,,,,,0,0.0,0.0
LD-LSA1,2026-03-23,58500,59400,11,LSA1_S_id11,South,,,,,,0,0.0,0.0
LD-LSA1,2026-03-23,59400,60300,11,LSA1_S_id11,South,,,,,,0,0.0,0.0
LD-LSA1,2026-03-23,60300,61200,11,LSA1_S_id11,South,,,,,,0,0.0,0.0
LD-LSA1,2026-03-23,57600,58500,12,LSA1_S_id12,South,,,,,,0,0.0,0.0
LD-LSA1,2026-03-23,58500,59400,12,LSA1_S_id12,South,,,,,,0,0.0,0.0
LD-LSA1,2026-03-23,59400,60300,12,LSA1_S_id12,South,,,,,,0,0.0,0.0
LD-LSA1,2026-03-23,60300,61200,12,LSA1_S_id12,South,,,,,,0,0.0,0.0
LD-LSA1,2026-03-23,57600,58500,13,LSA1_E_id13,East,,,,,,73,45.0,0.0
LD-LSA1,2026-03-23,58500,59400,13,LSA1_E_id13,East,,,,,,76,54.0,0.0
LD-LSA1,2026-03-23,59400,60300,13,LSA1_E_id13,East,,,,,,65,36.0,0.0
LD-LSA1,2026-03-23,60300,61200,13,LSA1_E_id13,East,,,,,,53,44.0,0.0
LD-LSA1,2026-03-23,57600,58500,14,LSA1_E_id14,East,,,,,,166,48.0,0.0
LD-LSA1,2026-03-23,58500,59400,14,LSA1_E_id14,East,,,,,,172,59.0,0.0
LD-LSA1,2026-03-23,59400,60300,14,LSA1_E_id14,East,,,,,,175,45.0,0.0
LD-LSA1,2026-03-23,60300,61200,14,LSA1_E_id14,East,,,,,,160,33.0,0.0
LD-LSA1,2026-03-23,57600,58500,23,LSA1_E_id23,East,,,,,,99,59.0,0.0
LD-LSA1,2026-03-23,58500,59400,23,LSA1_E_id23,East,,,,,,123,50.0,0.0
LD-LSA1,2026-03-23,59400,60300,23,LSA1_E_id23,East,,,,,,95,60.0,0.0
LD-LSA1,2026-03-23,60300,61200,23,LSA1_E_id23,East,,,,,,66,53.0,0.0
LD-LSA1,2026-03-23,57600,58500,24,LSA1_E_id24,East,,,,,,127,51.0,0.0
LD-LSA1,2026-03-23,58500,59400,24,LSA1_E_id24,East,,,,,,143,51.0,0.0
LD-LSA1,2026-03-23,59400,60300,24,LSA1_E_id24,East,,,,,,121,38.0,0.0
LD-LSA1,2026-03-23,60300,61200,24,LSA1_E_id24,East,,,,,,115,16.0,0.0
LD-LSA1,2026-03-23,57600,58500,25,LSA1_E_id25,East,,,,,,0,100.0,0.0
LD-LSA1,2026-03-23,58500,59400,25,LSA1_E_id25,East,,,,,,0,100.0,0.0
LD-LSA1,2026-03-23,59400,60300,25,LSA1_E_id25,East,,,,,,0,100.0,0.0
LD-LSA1,2026-03-23,60300,61200,25,LSA1_E_id25,East,,,,,,0,100.0,0.0
LD-LSA1,2026-03-23,57600,58500,26,LSA1_E_id26,East,,,,,,53,22.0,0.0
LD-LSA1,2026-03-23,58500,59400,26,LSA1_E_id26,East,,,,,,57,15.0,0.0
LD-LSA1,2026-03-23,59400,60300,26,LSA1_E_id26,East,,,,,,47,11.0,0.0
LD-LSA1,2026-03-23,60300,61200,26,LSA1_E_id26,East,,,,,,37,7.0,0.0
LD-LSA1,2026-03-23,57600,58500,27,LSA1_E_id27,East,,,,,,84,30.0,0.0
LD-LSA1,2026-03-23,58500,59400,27,LSA1_E_id27,East,,,,,,105,35.0,0.0
LD-LSA1,2026-03-23,59400,60300,27,LSA1_E_id27,East,,,,,,105,41.0,0.0
LD-LSA1,2026-03-23,60300,61200,27,LSA1_E_id27,East,,,,,,82,27.0,0.0
LD-LSA1,2026-03-23,57600,58500,28,LSA1_N_id28,North,,,,,,14,18.0,0.0
LD-LSA1,2026-03-23,58500,59400,28,LSA1_N_id28,North,,,,,,20,25.0,0.0
LD-LSA1,2026-03-23,59400,60300,28,LSA1_N_id28,North,,,,,,8,13.0,0.0
LD-LSA1,2026-03-23,60300,61200,28,LSA1_N_id28,North,,,,,,20,15.0,0.0
LD-LSA1,2026-03-23,57600,58500,29,LSA1_N_id29,North,,,,,,0,100.0,0.0
LD-LSA1,2026-03-23,58500,59400,29,LSA1_N_id29,North,,,,,,0,100.0,0.0
LD-LSA1,2026-03-23,59400,60300,29,LSA1_N_id29,North,,,,,,0,100.0,0.0
LD-LSA1,2026-03-23,60300,61200,29,LSA1_N_id29,North,,,,,,0,100.0,0.0
LD-LSA1,2026-03-23,57600,58500,30,LSA1_N_id30,North,,,,,,74,75.0,0.0
LD-LSA1,2026-03-23,58500,59400,30,LSA1_N_id30,North,,,,,,86,84.0,0.0
LD-LSA1,2026-03-23,59400,60300,30,LSA1_N_id30,North,,,,,,94,81.0,0.0
LD-LSA1,2026-03-23,60300,61200,30,LSA1_N_id30,North,,,,,,84,68.0,0.0
LD-LSA1,2026-03-23,57600,58500,39,LSA1_N_id39,North,,,,,,80,29.0,0.0
LD-LSA1,2026-03-23,58500,59400,39,LSA1_N_id39,North,,,,,,85,75.0,0.0
LD-LSA1,2026-03-23,59400,60300,39,LSA1_N_id39,North,,,,,,93,65.0,0.0
LD-LSA1,2026-03-23,60300,61200,39,LSA1_N_id39,North,,,,,,84,54.0,0.0
LD-LSA1,2026-03-23,57600,58500,40,LSA1_N_id40,North,,,,,,55,30.0,0.0
LD-LSA1,2026-03-23,58500,59400,40,LSA1_N_id40,North,,,,,,42,28.0,0.0
LD-LSA1,2026-03-23,59400,60300,40,LSA1_N_id40,North,,,,,,45,25.0,0.0
LD-LSA1,2026-03-23,60300,61200,40,LSA1_N_id40,North,,,,,,46,37.0,0.0
LD-LSA10,2026-03-23,57600,58500,1,LSA10_W_id1,West,,,,,,66,56.0,0.0
LD-LSA10,2026-03-23,58500,59400,1,LSA10_W_id1,West,,,,,,75,52.0,0.0
LD-LSA10,2026-03-23,59400,60300,1,LSA10_W_id1,West,,,,,,89,43.0,0.0
LD-LSA10,2026-03-23,60300,61200,1,LSA10_W_id1,West,,,,,,81,45.0,0.0
LD-LSA10,2026-03-23,57600,58500,2,LSA10_NW_id2,North-West,,,,,,37,57.0,0.0
LD-LSA10,2026-03-23,58500,59400,2,LSA10_NW_id2,North-West,,,,,,37,43.0,0.0
LD-LSA10,2026-03-23,59400,60300,2,LSA10_NW_id2,North-West,,,,,,40,47.0,0.0
LD-LSA10,2026-03-23,60300,61200,2,LSA10_NW_id2,North-West,,,,,,36,51.0,0.0
LD-LSA10,2026-03-23,57600,58500,3,LSA10_E_id3,East,,,,,,51,78.0,0.0
LD-LSA10,2026-03-23,58500,59400,3,LSA10_E_id3,East,,,,,,70,70.0,0.0
LD-LSA10,2026-03-23,59400,60300,3,LSA10_E_id3,East,,,,,,77,42.0,0.0
LD-LSA10,2026-03-23,60300,61200,3,LSA10_E_id3,East,,,,,,77,35.0,0.0
LD-LSA10,2026-03-23,57600,58500,4,LSA10_E_id4,East,,,,,,69,45.0,0.0
LD-LSA10,2026-03-23,58500,59400,4,LSA10_E_id4,East,,,,,,64,30.0,0.0
LD-LSA10,2026-03-23,59400,60300,4,LSA10_E_id4,East,,,,,,59,13.0,0.0
LD-LSA10,2026-03-23,60300,61200,4,LSA10_E_id4,East,,,,,,50,22.0,0.0
LD-LSA10,2026-03-23,57600,58500,26,LSA10_NW_id26,North-West,,,,,,6,32.0,0.0
LD-LSA10,2026-03-23,58500,59400,26,LSA10_NW_id26,North-West,,,,,,5,44.0,0.0
LD-LSA10,2026-03-23,59400,60300,26,LSA10_NW_id26,North-West,,,,,,9,17.0,0.0
LD-LSA10,2026-03-23,60300,61200,26,LSA10_NW_id26,North-West,,,,,,11,25.0,0.0
LD-LSA10,2026-03-23,57600,58500,27,LSA10_NW_id27,North-West,,,,,,17,79.0,0.0
LD-LSA10,2026-03-23,58500,59400,27,LSA10_NW_id27,North-West,,,,,,21,71.0,0.0
LD-LSA10,2026-03-23,59400,60300,27,LSA10_NW_id27,North-West,,,,,,20,69.0,0.0
LD-LSA10,2026-03-23,60300,61200,27,LSA10_NW_id27,North-West,,,,,,23,72.0,0.0
LD-LSA10,2026-03-23,57600,58500,29,LSA10_NE_id29,North-East,,,,,,6,7.0,0.0
LD-LSA10,2026-03-23,58500,59400,29,LSA10_NE_id29,North-East,,,,,,4,6.0,0.0
LD-LSA10,2026-03-23,59400,60300,29,LSA10_NE_id29,North-East,,,,,,17,16.0,0.0
LD-LSA10,2026-03-23,60300,61200,29,LSA10_NE_id29,North-East,,,,,,12,10.0,0.0
LD-LSA10,2026-03-23,57600,58500,31,LSA10_S_id31,South,,,,,,22,47.0,0.0
LD-LSA10,2026-03-23,58500,59400,31,LSA10_S_id31,South,,,,,,22,53.0,0.0
LD-LSA10,2026-03-23,59400,60300,31,LSA10_S_id31,South,,,,,,14,48.0,0.0
LD-LSA10,2026-03-23,60300,61200,31,LSA10_S_id31,South,,,,,,16,44.0,0.0
LD-LSA16,2026-03-23,57600,58500,1,LSA16_S_id1,South,,,,,,34,27.0,0.0
LD-LSA16,2026-03-23,58500,59400,1,LSA16_S_id1,South,,,,,,47,35.0,0.0
LD-LSA16,2026-03-23,59400,60300,1,LSA16_S_id1,South,,,,,,40,22.0,0.0
LD-LSA16,2026-03-23,60300,61200,1,LSA16_S_id1,South,,,,,,39,21.0,0.0
LD-LSA16,2026-03-23,57600,58500,2,LSA16_S_id2,South,,,,,,23,16.0,0.0
LD-LSA16,2026-03-23,58500,59400,2,LSA16_S_id2,South,,,,,,24,21.0,0.0
LD-LSA16,2026-03-23,59400,60300,2,LSA16_S_id2,South,,,,,,16,14.0,0.0
LD-LSA16,2026-03-23,60300,61200,2,LSA16_S_id2,South,,,,,,17,12.0,0.0
LD-LSA16,2026-03-23,57600,58500,3,LSA16_W_id3,West,,,,,,79,66.0,0.0
LD-LSA16,2026-03-23,58500,59400,3,LSA16_W_id3,West,,,,,,50,70.0,0.0
LD-LSA16,2026-03-23,59400,60300,3,LSA16_W_id3,West,,,,,,63,59.0,0.0
LD-LSA16,2026-03-23,60300,61200,3,LSA16_W_id3,West,,,,,,55,42.0,0.0
LD-LSA16,2026-03-23,57600,58500,4,LSA16_W_id4,West,,,,,,14,33.0,0.0
LD-LSA16,2026-03-23,58500,59400,4,LSA16_W_id4,West,,,,,,11,49.0,0.0
LD-LSA16,2026-03-23,59400,60300,4,LSA16_W_id4,West,,,,,,9,36.0,0.0
LD-LSA16,2026-03-23,60300,61200,4,LSA16_W_id4,West,,,,,,9,27.0,0.0
LD-LSA16,2026-03-23,57600,58500,5,LSA16_W_id5,West,,,,,,59,63.0,0.0
LD-LSA16,2026-03-23,58500,59400,5,LSA16_W_id5,West,,,,,,36,58.0,0.0
LD-LSA16,2026-03-23,59400,60300,5,LSA16_W_id5,West,,,,,,52,53.0,0.0
LD-LSA16,2026-03-23,60300,61200,5,LSA16_W_id5,West,,,,,,51,35.0,0.0
LD-LSA16,2026-03-23,57600,58500,6,LSA16_N_id6,North,,,,,,17,6.0,0.0
LD-LSA16,2026-03-23,58500,59400,6,LSA16_N_id6,North,,,,,,19,7.0,0.0
LD-LSA16,2026-03-23,59400,60300,6,LSA16_N_id6,North,,,,,,19,13.0,0.0
LD-LSA16,2026-03-23,60300,61200,6,LSA16_N_id6,North,,,,,,29,8.0,0.0
LD-LSA16,2026-03-23,57600,58500,7,LSA16_N_id7,North,,,,,,34,58.0,0.0
LD-LSA16,2026-03-23,58500,59400,7,LSA16_N_id7,North,,,,,,35,54.0,0.0
LD-LSA16,2026-03-23,59400,60300,7,LSA16_N_id7,North,,,,,,42,24.0,0.0
LD-LSA16,2026-03-23,60300,61200,7,LSA16_N_id7,North,,,,,,33,37.0,0.0
LD-LSA16,2026-03-23,57600,58500,10,LSA16_E_id10,East,,,,,,102,40.0,0.0
LD-LSA16,2026-03-23,58500,59400,10,LSA16_E_id10,East,,,,,,107,43.0,0.0
LD-LSA16,2026-03-23,59400,60300,10,LSA16_E_id10,East,,,,,,71,48.0,0.0
LD-LSA16,2026-03-23,60300,61200,10,LSA16_E_id10,East,,,,,,87,40.0,0.0
LD-LSA16,2026-03-23,57600,58500,11,LSA16_E_id11,East,,,,,,74,20.0,0.0
LD-LSA16,2026-03-23,58500,59400,11,LSA16_E_id11,East,,,,,,66,21.0,0.0
LD-LSA16,2026-03-23,59400,60300,11,LSA16_E_id11,East,,,,,,54,36.0,0.0
LD-LSA16,2026-03-23,60300,61200,11,LSA16_E_id11,East,,,,,,54,16.0,0.0
LD-LSA16,2026-03-23,57600,58500,13,LSA16_Eout_id13,East-Exit,,,,,,119,28.0,0.0
LD-LSA16,2026-03-23,58500,59400,13,LSA16_Eout_id13,East-Exit,,,,,,107,24.0,0.0
LD-LSA16,2026-03-23,59400,60300,13,LSA16_Eout_id13,East-Exit,,,,,,120,23.0,0.0
LD-LSA16,2026-03-23,60300,61200,13,LSA16_Eout_id13,East-Exit,,,,,,103,17.0,0.0
LD-LSA16,2026-03-23,57600,58500,15,LSA16_Wout_id15,West-Exit,,,,,,157,25.0,0.0
LD-LSA16,2026-03-23,58500,59400,15,LSA16_Wout_id15,West-Exit,,,,,,167,19.0,0.0
LD-LSA16,2026-03-23,59400,60300,15,LSA16_Wout_id15,West-Exit,,,,,,128,37.0,0.0
LD-LSA16,2026-03-23,60300,61200,15,LSA16_Wout_id15,West-Exit,,,,,,121,31.0,0.0
LD-LSA16,2026-03-23,57600,58500,33,LSA16_S_id33,South,,,,,,26,36.0,0.0
LD-LSA16,2026-03-23,58500,59400,33,LSA16_S_id33,South,,,,,,22,33.0,0.0
LD-LSA16,2026-03-23,59400,60300,33,LSA16_S_id33,South,,,,,,24,18.0,0.0
LD-LSA16,2026-03-23,60300,61200,33,LSA16_S_id33,South,,,,,,25,9.0,0.0
LD-LSA9,2026-03-23,57600,58500,1,LSA9_W_id1,West,,,,,,59,69.0,0.0
LD-LSA9,2026-03-23,58500,59400,1,LSA9_W_id1,West,,,,,,56,81.0,0.0
LD-LSA9,2026-03-23,59400,60300,1,LSA9_W_id1,West,,,,,,68,71.0,0.0
LD-LSA9,2026-03-23,60300,61200,1,LSA9_W_id1,West,,,,,,56,69.0,0.0
LD-LSA9,2026-03-23,57600,58500,2,LSA9_W_id2,West,,,,,,73,71.0,0.0
LD-LSA9,2026-03-23,58500,59400,2,LSA9_W_id2,West,,,,,,69,76.0,0.0
LD-LSA9,2026-03-23,59400,60300,2,LSA9_W_id2,West,,,,,,57,75.0,0.0
LD-LSA9,2026-03-23,60300,61200,2,LSA9_W_id2,West,,,,,,83,60.0,0.0
LD-LSA9,2026-03-23,57600,58500,3,,North-East,,,,,,7,18.0,0.0
LD-LSA9,2026-03-23,58500,59400,3,,North-East,,,,,,2,0.0,0.0
LD-LSA9,2026-03-23,59400,60300,3,,North-East,,,,,,7,20.0,0.0
LD-LSA9,2026-03-23,60300,61200,3,,North-East,,,,,,1,3.0,0.0
LD-LSA9,2026-03-23,57600,58500,4,LSA9_WE_id4,North-West,,,,,,27,78.0,0.0
LD-LSA9,2026-03-23,58500,59400,4,LSA9_WE_id4,North-West,,,,,,27,65.0,0.0
LD-LSA9,2026-03-23,59400,60300,4,LSA9_WE_id4,North-West,,,,,,18,57.0,0.0
LD-LSA9,2026-03-23,60300,61200,4,LSA9_WE_id4,North-West,,,,,,27,76.0,0.0
LD-LSA9,2026-03-23,57600,58500,5,LSA9_WE_id5,North-West,,,,,,14,47.0,0.0
LD-LSA9,2026-03-23,58500,59400,5,LSA9_WE_id5,North-West,,,,,,14,57.0,0.0
LD-LSA9,2026-03-23,59400,60300,5,LSA9_WE_id5,North-West,,,,,,14,51.0,0.0
LD-LSA9,2026-03-23,60300,61200,5,LSA9_WE_id5,North-West,,,,,,13,57.0,0.0
LD-LSA9,2026-03-23,57600,58500,6,LSA9_WE_id6,North-West,,,,,,21,77.0,0.0
LD-LSA9,2026-03-23,58500,59400,6,LSA9_WE_id6,North-West,,,,,,25,54.0,0.0
LD-LSA9,2026-03-23,59400,60300,6,LSA9_WE_id6,North-West,,,,,,27,41.0,0.0
LD-LSA9,2026-03-23,60300,61200,6,LSA9_WE_id6,North-West,,,,,,23,63.0,0.0
LD-LSA9,2026-03-23,57600,58500,7,LSA9_WE_id7,North-West,,,,,,32,36.0,0.0
LD-LSA9,2026-03-23,58500,59400,7,LSA9_WE_id7,North-West,,,,,,38,36.0,0.0
LD-LSA9,2026-03-23,59400,60300,7,LSA9_WE_id7,North-West,,,,,,32,13.0,0.0
LD-LSA9,2026-03-23,60300,61200,7,LSA9_WE_id7,North-West,,,,,,39,30.0,0.0
LD-LSA9,2026-03-23,57600,58500,8,LSA9_E_id8,East,,,,,,77,85.0,0.0
LD-LSA9,2026-03-23,58500,59400,8,LSA9_E_id8,East,,,,,,68,80.0,0.0
LD-LSA9,2026-03-23,59400,60300,8,LSA9_E_id8,East,,,,,,97,68.0,0.0
LD-LSA9,2026-03-23,60300,61200,8,LSA9_E_id8,East,,,,,,78,62.0,0.0
LD-LSA9,2026-03-23,57600,58500,9,LSA9_E_id9,East,,,,,,67,48.0,0.0
LD-LSA9,2026-03-23,58500,59400,9,LSA9_E_id9,East,,,,,,68,48.0,0.0
LD-LSA9,2026-03-23,59400,60300,9,LSA9_E_id9,East,,,,,,67,31.0,0.0
LD-LSA9,2026-03-23,60300,61200,9,LSA9_E_id9,East,,,,,,55,22.0,0.0
LD-LSA9,2026-03-23,57600,58500,10,,South,,,,,,14,9.0,0.0
LD-LSA9,2026-03-23,58500,59400,10,,South,,,,,,15,7.0,0.0
LD-LSA9,2026-03-23,59400,60300,10,,South,,,,,,9,24.0,0.0
LD-LSA9,2026-03-23,60300,61200,10,,South,,,,,,10,21.0,0.0
LD-LSA9,2026-03-23,57600,58500,11,,Middle,,,,,,44,35.0,0.0
LD-LSA9,2026-03-23,58500,59400,11,,Middle,,,,,,46,33.0,0.0
LD-LSA9,2026-03-23,59400,60300,11,,Middle,,,,,,41,33.0,0.0
LD-LSA9,2026-03-23,60300,61200,11,,Middle,,,,,,49,27.0,0.0
