intersection,detector_id,sumo_id,approach,edge_id,count_type,from_edge,to_edge,movement,total_count,mean_occupancy,mean_speed,n_intervals
LD-LSA1,7,LSA1_W_id7,West,,,,,,218,55.25,0.0,4
LD-LSA1,8,LSA1_W_id8,West,,,,,,374,35.0,0.0,4
LD-LSA1,9,LSA1_W_id9,West,,,,,,613,64.75,0.0,4
LD-LSA1,10,LSA1_W_id10,West,,,,,,602,63.25,0.0,4
LD-LSA1,11,LSA1_S_id11,South,,,,,,0,0.0,0.0,4
LD-LSA1,12,LSA1_S_id12,South,,,,,,0,0.0,0.0,4
LD-LSA1,13,LSA1_E_id13,East,,,,,,267,44.75,0.0,4
LD-LSA1,14,LSA1_E_id14,East,,,,,,673,46.25,0.0,4
LD-LSA1,23,LSA1_E_id23,East,,,,,,383,55.5,0.0,4
LD-LSA1,24,LSA1_E_id24,East,,,,,,506,39.0,0.0,4
LD-LSA1,25,LSA1_E_id25,East,,,,,,0,100.0,0.0,4
LD-LSA1,26,LSA1_E_id26,East,,,,,,194,13.75,0.0,4
LD-LSA1,27,LSA1_E_id27,East,,,,,,376,33.25,0.0,4
LD-LSA1,28,LSA1_N_id28,North,,,,,,62,17.75,0.0,4
LD-LSA1,29,LSA1_N_id29,North,,,,,,0,100.0,0.0,4
LD-LSA1,30,LSA1_N_id30,North,,,,,,338,77.0,0.0,4
LD-LSA1,39,LSA1_N_id39,North,,,,,,342,55.75,0.0,4
LD-LSA1,40,LSA1_N_id40,North,,,,,,188,30.0,0.0,4
LD-LSA10,1,LSA10_W_id1,West,,,,,,311,49.0,0.0,4
LD-LSA10,2,LSA10_NW_id2,North-West,,,,,,150,49.5,0.0,4
LD-LSA10,3,LSA10_E_id3,East,,,,,,275,56.25,0.0,4
LD-LSA10,4,LSA10_E_id4,East,,,,,,242,27.5,0.0,4
LD-LSA10,26,LSA10_NW_id26,North-West,,,,,,31,29.5,0.0,4
LD-LSA10,27,LSA10_NW_id27,North-West,,,,,,81,72.75,0.0,4
LD-LSA10,29,LSA10_NE_id29,North-East,,,,,,39,9.75,0.0,4
LD-LSA10,31,LSA10_S_id31,South,,,,,,74,48.0,0.0,4
LD-LSA16,1,LSA16_S_id1,South,,,,,,160,26.25,0.0,4
LD-LSA16,2,LSA16_S_id2,South,,,,,,80,15.75,0.0,4
LD-LSA16,3,LSA16_W_id3,West,,,,,,247,59.25,0.0,4
LD-LSA16,4,LSA16_W_id4,West,,,,,,43,36.25,0.0,4
LD-LSA16,5,LSA16_W_id5,West,,,,,,198,52.25,0.0,4
LD-LSA16,6,LSA16_N_id6,North,,,,,,84,8.5,0.0,4
LD-LSA16,7,LSA16_N_id7,North,,,,,,144,43.25,0.0,4
LD-LSA16,10,LSA16_E_id10,East,,,,,,367,42.75,0.0,4
LD-LSA16,11,LSA16_E_id11,East,,,,,,248,23.25,0.0,4
LD-LSA16,13,LSA16_Eout_id13,East-Exit,,,,,,449,23.0,0.0,4
LD-LSA16,15,LSA16_Wout_id15,West-Exit,,,,,,573,28.0,0.0,4
LD-LSA16,33,LSA16_S_id33,South,,,,,,97,24.0,0.0,4
LD-LSA9,1,LSA9_W_id1,West,,,,,,239,72.5,0.0,4
LD-LSA9,2,LSA9_W_id2,West,,,,,,282,70.5,0.0,4
LD-LSA9,3,,North-East,,,,,,17,10.25,0.0,4
LD-LSA9,4,LSA9_WE_id4,North-West,,,,,,99,69.0,0.0,4
LD-LSA9,5,LSA9_WE_id5,North-West,,,,,,55,53.0,0.0,4
LD-LSA9,6,LSA9_WE_id6,North-West,,,,,,96,58.75,0.0,4
LD-LSA9,7,LSA9_WE_id7,North-West,,,,,,141,28.75,0.0,4
LD-LSA9,8,LSA9_E_id8,East,,,,,,320,73.75,0.0,4
LD-LSA9,9,LSA9_E_id9,East,,,,,,257,37.25,0.0,4
LD-LSA9,10,,South,,,,,,48,15.25,0.0,4
LD-LSA9,11,,Middle,,,,,,180,32.0,0.0,4
