scenario,date,window_start,window_end,approach,signal_group,signal_id,observed_seconds,green_seconds,cycle_count,green_minutes,green_share_percent,avg_cycle_time_s,avg_green_per_cycle_s
weekday_evening,2026-03-23,16:00:00,17:00:00,East,K4,4,3601,1522,90,25.366666666666667,42.26603721188559,40.01111111111111,16.91111111111111
weekday_evening,2026-03-23,16:00:00,17:00:00,North_East,K3,3,3601,601,90,10.016666666666667,16.68980838655929,40.01111111111111,6.677777777777778
weekday_evening,2026-03-23,16:00:00,17:00:00,North_West,K2,2,3601,537,90,8.95,14.912524298805888,40.01111111111111,5.966666666666667
weekday_evening,2026-03-23,16:00:00,17:00:00,South,K5,19,3601,388,90,6.466666666666667,10.774784782004998,40.01111111111111,4.311111111111111
weekday_evening,2026-03-23,16:00:00,17:00:00,West,K1,1,3601,1690,90,28.166666666666668,46.931407942238266,40.01111111111111,18.77777777777778
weekday_morning,2026-03-10,08:00:00,09:00:00,East,K4,4,3600,1625,90,27.083333333333332,45.13888888888889,40.0,18.055555555555557
weekday_morning,2026-03-10,08:00:00,09:00:00,North_East,K3,3,3600,673,90,11.216666666666667,18.694444444444443,40.0,7.477777777777778
weekday_morning,2026-03-10,08:00:00,09:00:00,North_West,K2,2,3600,589,90,9.816666666666666,16.36111111111111,40.0,6.544444444444444
weekday_morning,2026-03-10,08:00:00,09:00:00,South,K5,19,3600,351,90,5.85,9.75,40.0,3.9
weekday_morning,2026-03-10,08:00:00,09:00:00,West,K1,1,3600,1693,90,28.216666666666665,47.02777777777778,40.0,18.81111111111111
weekend_evening,2026-03-22,16:00:00,17:00:00,East,K4,4,3601,1873,90,31.216666666666665,52.01332963065815,40.01111111111111,20.81111111111111
weekend_evening,2026-03-22,16:00:00,17:00:00,North_East,K3,3,3601,588,90,9.8,16.328797556234377,40.01111111111111,6.533333333333333
weekend_evening,2026-03-22,16:00:00,17:00:00,North_West,K2,2,3601,498,90,8.3,13.829491807831158,40.01111111111111,5.533333333333333
weekend_evening,2026-03-22,16:00:00,17:00:00,South,K5,19,3601,308,90,5.133333333333334,8.553179672313247,40.01111111111111,3.422222222222222
weekend_evening,2026-03-22,16:00:00,17:00:00,West,K1,1,3601,1888,90,31.466666666666665,52.429880588725354,40.01111111111111,20.977777777777778
weekend_morning,2026-03-14,08:00:00,09:00:00,East,K4,4,3600,1879,90,31.316666666666666,52.19444444444444,40.0,20.877777777777776
weekend_morning,2026-03-14,08:00:00,09:00:00,North_East,K3,3,3600,722,90,12.033333333333333,20.055555555555554,40.0,8.022222222222222
weekend_morning,2026-03-14,08:00:00,09:00:00,North_West,K2,2,3600,612,90,10.2,17.0,40.0,6.8
weekend_morning,2026-03-14,08:00:00,09:00:00,South,K5,19,3600,293,90,4.883333333333334,8.13888888888889,40.0,3.2555555555555555
weekend_morning,2026-03-14,08:00:00,09:00:00,West,K1,1,3600,1807,90,30.116666666666667,50.19444444444444,40.0,20.07777777777778
